name,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,label
1902F2001_001,0.010819672131147541,0.0,0.5279781420765027,0.0021311475409836068,0.19426229508196727,0.0985792349726776,0.003551912568306011,0.0,0.01934426229508197,0.4001092896174864,0.006557377049180329,0.8274863387978141,0.30191256830601104,0.3949726775956285,0.004863387978142077,0.14584699453551908,0.3379234972677596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6994535519125684,0.0,0.8415300546448088,0.5464480874316939,0.8360655737704918,0.0,0.0,0.0,0.5027322404371585,4.0
1902F2001_002,0.008320610687022901,0.00022900763358778622,0.5367684478371504,0.003918575063613232,0.11933842239185752,0.13328244274809156,0.010916030534351149,0.0,0.0006870229007633589,0.1478625954198473,0.021679389312977103,0.6592366412213742,0.051806615776081436,0.10262086513994907,0.04659033078880405,0.2565903307888041,0.2015267175572519,0.0,0.012722646310432573,0.0,0.0,0.0,0.03816793893129771,0.0,0.0,0.0,0.3511450381679389,0.0,0.7022900763358778,0.05852417302798984,0.5547073791348601,0.022900763358778626,0.06615776081424936,0.0,0.2595419847328245,4.0
1902F2001_003,0.0054295532646048104,0.006116838487972508,0.584948453608247,0.03958762886597938,0.4783848797250859,0.2271477663230239,0.05996563573883161,0.120446735395189,0.4519931271477664,0.37202749140893465,0.02044673539518901,0.2978006872852236,0.016254295532646047,0.06876288659793814,1.024158075601375,0.7254982817869416,0.3552577319587629,0.0,0.0,0.0,0.0,0.0,0.1855670103092783,0.010309278350515464,0.4570446735395188,0.4948453608247423,0.6597938144329897,0.0,0.14432989690721648,0.020618556701030927,0.1649484536082474,0.5532646048109965,0.30927835051546393,0.0,0.2542955326460481,5.2
1902F2001_004,0.10914141414141412,0.04419191919191919,0.5215151515151515,0.002727272727272727,0.7996969696969699,0.4093434343434342,0.07792929292929293,0.2496969696969697,0.7129292929292927,0.40439393939393947,0.004242424242424242,0.12696969696969695,0.023383838383838385,0.009646464646464648,0.9904040404040404,0.5224747474747475,0.2955555555555556,0.0,0.08585858585858586,0.0,0.0,0.2373737373737373,0.5,0.0,0.5858585858585859,0.6060606060606061,0.6717171717171716,0.0909090909090909,0.0404040404040404,0.045454545454545456,0.21717171717171715,0.3585858585858587,0.1616161616161616,0.0,0.30303030303030304,5.6
1902F2001_005,0.03971751412429378,0.0064689265536723144,0.5474011299435028,0.0020338983050847467,0.5669774011299435,0.27372881355932205,0.12937853107344635,0.014237288135593218,0.2216666666666666,0.34918079096045196,0.10957627118644067,0.5296610169491525,0.055536723163841804,0.1992937853107344,0.30946327683615826,0.34449152542372874,0.25426553672316393,0.02824858757062147,0.1977401129943503,0.031073446327683614,0.0,0.0,0.1327683615819209,0.0,0.04519774011299437,0.18361581920903952,0.53954802259887,0.12146892655367232,0.38700564971751417,0.0480225988700565,0.15819209039548024,0.056497175141242924,0.05367231638418079,0.0,0.2372881355932203,5.4
1902F2001_006,0.06985185185185186,0.003925925925925926,0.6285185185185184,0.09792592592592593,0.3999629629629631,0.16118518518518515,0.009333333333333334,0.011185185185185187,0.2119259259259259,0.3126296296296296,0.17866666666666664,0.3387037037037035,0.254962962962963,0.2391111111111112,0.5164444444444444,0.4322962962962961,0.2420740740740741,0.04444444444444444,0.08518518518518517,0.04444444444444445,0.0,0.04074074074074074,0.0,0.0,0.0,0.14814814814814814,0.5148148148148147,0.12962962962962965,0.23703703703703705,0.2333333333333333,0.4,0.17407407407407408,0.12962962962962962,0.0,0.2333333333333333,5.2
1902F2001_007,0.015225225225225226,0.05432432432432433,0.4655855855855856,0.0,1.1009909909909907,0.2784684684684685,0.17171171171171173,0.2275675675675676,0.7678378378378381,0.40900900900900905,0.00990990990990991,0.2490090090090091,0.001081081081081081,0.016036036036036042,0.7322522522522522,0.15873873873873875,0.0536036036036036,0.0,0.036036036036036036,0.0,0.0,0.35135135135135137,0.4594594594594595,0.0,0.5135135135135135,0.5495495495495495,0.5585585585585586,0.0,0.1891891891891892,0.0,0.0,0.4684684684684685,0.0,0.0,0.045045045045045036,4.4
1902F2001_008,0.09883040935672516,0.4260233918128656,0.5064327485380117,0.0,1.8315789473684208,0.5197660818713451,0.2480116959064328,0.6893567251461987,1.5665497076023391,0.3719298245614035,0.008187134502923977,0.053859649122807024,0.0015789473684210528,0.002923976608187135,1.174619883040936,0.032748538011695916,0.1618713450292398,0.08187134502923976,0.7894736842105263,0.0,0.0,0.543859649122807,0.5497076023391813,0.4853801169590643,0.543859649122807,0.6198830409356725,0.03508771929824561,0.0,0.0,0.0,0.0,0.5380116959064327,0.0,0.0,0.14035087719298245,4.8
1902F2001_009,0.06109649122807018,0.09859649122807017,0.5932894736842105,0.004122807017543861,0.9213157894736842,0.4877192982456139,0.10333333333333332,0.06701754385964914,0.4561403508771929,0.42649122807017537,0.07587719298245611,0.6688157894736841,0.06995614035087719,0.1871491228070176,0.30157894736842106,0.339342105263158,0.13701754385964912,0.03508771929824561,0.17982456140350878,0.0,0.0,0.07894736842105263,0.3464912280701754,0.06578947368421052,0.10087719298245616,0.17105263157894735,0.4912280701754385,0.19736842105263155,0.7456140350877194,0.02631578947368421,0.13596491228070173,0.09649122807017543,0.16228070175438594,0.0,0.10526315789473684,4.2
1902F2001_010,0.2318579234972677,0.0011475409836065574,0.5230054644808741,0.01715846994535519,0.32469945355191265,0.18136612021857929,0.004098360655737704,0.0,0.013060109289617488,0.18054644808743173,0.14453551912568302,0.4750819672131146,0.27519125683060114,0.051311475409836084,0.6916939890710385,0.7080327868852461,0.4450273224043715,0.16393442622950818,0.27322404371584696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3879781420765027,0.0,0.3278688524590164,0.27868852459016386,0.22950819672131145,0.2568306010928962,0.18032786885245905,0.0,0.366120218579235,4.0
