name,d,v,t,f,label,fusion_pred
1902F2001_001,4.248229210578982,4.290650548454752,4.099629598312383,4.2204047181347795,4.0,4.0687609863466125
1902F2001_002,4.2418997444175774,4.028376425464403,4.099629598312383,4.356152369028503,4.0,4.024825843600074
1902F2001_003,4.7157278428947995,4.711247312506945,4.779823477553623,4.950045603503774,5.2,4.907310368349671
1902F2001_004,4.701389058922639,4.73573824496609,4.099629598312383,4.688792964809322,5.6,4.546761927793598
1902F2001_005,4.268807555980079,4.776454297740403,4.733413863199824,4.34924766164281,5.4,4.514305033843752
1902F2001_006,4.895650523519057,4.779893308220441,4.7636493146588155,4.572442962558609,5.2,4.953608975102922
1902F2001_007,4.194677689879011,3.976487485851809,4.099629598312383,4.417845681386165,4.4,4.005490982467668
1902F2001_008,4.239380469086218,4.573415106638901,4.099629598312383,4.317010900557319,4.8,4.157510128045522
1902F2001_009,4.19942211702357,4.009393990887994,4.099629598312383,4.286462732011986,4.2,3.9948857942514318
1902F2001_010,4.256128160383074,3.986989355515532,4.099629598312383,4.7019511793730775,4.0,4.084138709951886
1902F2001_011,4.891187609759064,4.314417030555868,4.754249534099008,4.382040873093981,5.0,4.759813285593615
1902F2001_012,4.900650976518904,4.885918773335636,4.7275016283027815,4.354429383574825,5.6,4.9264883183180705
1902F2001_013,4.523992949574274,4.188323134293713,4.099629598312383,4.179846380140882,4.6,4.179202614998711
1902F2001_014,4.883639612591731,4.115697633283473,4.726509347345129,4.911426433712128,4.4,4.779152045322197
1902F2001_015,4.711185039903414,4.562893593208717,4.099629598312383,4.7388969135405326,5.8,4.508413922974134
1902F2001_016,4.884943070661313,4.910865640947608,4.762908847728786,4.969146156591933,4.8,5.050901842138598
1902F2001_017,4.6772845182097065,4.652641159146785,4.7275016283027815,4.812997653260591,4.8,4.820178437665084
1902F2001_018,4.19662414249455,4.03408875121419,4.099629598312383,4.822874851864885,4.0,4.094934464233956
1902F2001_019,4.2911652357535335,4.374704997132655,4.099629598312383,4.320240322582121,4.0,4.12523642732142
1902F2001_020,4.286954359007047,3.974030859923528,4.099629598312383,4.324196227672038,4.0,4.02860532161167
1902F2001_021,4.8962776925815,4.516497442181229,4.099629598312383,4.780568634994717,5.0,4.614921637542798
1902F2001_022,4.653893574461641,4.2857249973108225,4.099629598312383,4.933285101954838,6.0,4.428231978506585
1902F2001_023,4.701082766468784,4.078861005088849,4.099629598312383,4.403223995046436,5.6,4.294099146948893
1902F2001_024,4.886881573748197,4.557324381768588,4.099629598312383,4.573488577772922,6.4,4.582681147239039
1902F2001_025,4.71954791105513,4.885868438120692,4.741767340939836,4.674469654434461,5.6,4.898017456280223
1902F2001_026,4.557754307603771,4.50729478705771,4.712206499144705,4.442186885241034,6.4,4.614666626269141
1902F2001_027,4.910721972186438,4.956589494151219,4.846070851995604,4.645832289485758,5.8,5.054701577992296
1902F2001_028,4.23571572127449,4.408217613049079,4.099629598312383,4.200492156820951,4.0,4.091665684310223
1902F2001_029,4.704977204207682,4.669045824409015,4.099629598312383,4.352863545140895,5.6,4.462428518043228
1902F2001_030,4.523584751895381,4.004371864733204,4.099629598312383,3.9713401187225683,4.6,4.111442000590451
1902F2001_031,4.659287115110898,3.9921566478959782,4.099629598312383,4.265907871989172,5.0,4.223868934329669
1902F2001_032,4.524869419137665,4.092536618178206,4.099629598312383,4.11654289923091,4.4,4.147495742264745
1902F2001_033,4.70299238231941,4.423765899631869,4.099629598312383,4.536322299337375,5.4,4.419550357011419
1902F2001_034,4.933143525509068,5.0489186899294065,4.848458896389157,4.851381068172553,5.4,5.120693952346549
1902F2001_035,4.197485892175184,3.9167546682658085,4.099629598312383,4.16306647477563,4.0,3.9644083551542435
1902F2001_036,4.705177678524499,4.685968420049835,4.099629598312383,4.465392292228874,3.2,4.48945215845579
1902F2001_037,4.19662414249455,3.9421389939536775,4.099629598312383,4.251818483103133,3.6,3.977633405692776
1902F2001_038,4.707841987408498,4.641206460314773,4.099629598312383,4.7565103911038396,5.8,4.534407199710566
1902F2001_039,4.196352787391964,3.962952936751214,4.099629598312383,4.129201846144395,4.2,3.9684486187315433
1902F2001_040,4.697420262919299,4.860249681338157,4.750114514437561,4.690128854827437,4.8,4.883746597600816
1902F2001_041,4.493894191192123,4.30260940654852,4.725990762561045,5.026173266930554,3.4,4.632514010143984
1902F2001_042,4.2556695754581035,4.393689002682576,4.099629598312383,4.415290885912013,2.8,4.128973648498161
1902F2001_043,4.901951001614273,4.678606038668316,4.780403481916273,4.7738286556826806,4.8,4.970224342669379
1902F2001_044,4.256388087052567,3.9686304588947174,4.099629598312383,4.061287510294909,4.2,3.9858792761383537
1902F2001_045,4.713170797216918,4.813726705295997,4.787415532245699,4.69532420746971,5.6,4.895718926184221
1902F2001_046,4.8882016910575015,4.568623911615799,4.099629598312383,4.784501513943843,5.2,4.6267313621660575
1902F2001_047,4.726886666423242,5.025293555150482,4.834146105917968,4.911566160064163,6.2,5.017405031647101
1902F2001_048,4.888205218305852,4.648042550737579,4.099629598312383,4.555930512812604,6.0,4.607867226814591
1902F2001_049,4.9633010412937395,5.208229903886918,4.975912339060328,5.057819644471359,6.2,5.219068652623457
1902F2001_050,4.518066786163025,3.9863137564984954,4.099629598312383,4.0670142532619,4.2,4.114110726093612
1902F2001_051,4.688296684053631,4.59607609863169,4.76260798837834,4.446538705153818,5.0,4.7500881018410555
1902F2001_052,4.94515897550199,5.117866475386972,4.986223127884312,5.00290750950605,5.2,5.195027921712922
1902F2001_053,4.498589603066368,4.049411869396765,4.099629598312383,4.085922369890655,3.8,4.119262387578752
1902F2001_054,4.714618899112408,4.954149886512492,4.784904443317227,4.906471594396922,4.8,4.972514053137308
1902F2001_055,4.230970424196502,3.922473011225171,4.099629598312383,4.3305955765927475,3.8,3.9970232438509825
1902F2001_056,4.19662414249455,3.975324854338189,4.099629598312383,4.307366756247229,3.8,3.990283324269887
1902F2001_057,4.256927050195108,4.004276136926679,4.099629598312383,4.384165097682392,4.0,4.030460829255067
1902F2001_058,4.8911317091242195,4.624768830266588,4.773850762180881,4.666242862434892,4.8,4.9260658476677195
1902F2001_059,4.713577532456742,4.880637801563161,4.727457590779571,4.655511398882811,5.4,4.883156605363406
1902F2001_060,4.905545531624094,4.825187040491905,4.850204085051575,4.822850183985624,5.8,5.04825086169044
1902F2001_061,4.760961823971894,4.635308401319712,4.753669696645818,4.591154481923069,3.6,4.833263196844194
1902F2001_062,4.195347336111688,4.17005975980867,4.099629598312383,4.209330318542533,3.8,4.0168662448522685
1902F2001_063,4.5420914547312226,4.050217051102488,4.099629598312383,4.2282791069418195,3.6,4.16233357810156
1902F2001_064,4.649357876618864,4.123900298289932,4.099629598312383,4.348993723610683,4.4,4.264326906829101
1902F2001_065,4.875188427354035,4.5426163495438825,4.778683487123497,4.672023070002178,4.4,4.894465617916749
1902F2001_066,4.8889215665398496,4.736596133382347,4.839163624502995,5.09299205144109,4.6,5.047027533234649
1902F2001_067,4.495035533507685,3.9806017011022945,4.099629598312383,4.230227377193135,3.8,4.120268652206182
1902F2001_068,4.707740485202039,4.610767787815749,4.738468659550135,4.378061667199467,2.8,4.741326631855167
1902F2001_069,4.23494078014468,4.182860063160075,4.099629598312383,4.136508288163139,3.8,4.027333595164799
1902F2001_070,4.19662414249455,4.013416568904632,4.099629598312383,4.470106625071013,3.8,4.021588447280725
1902F2001_071,4.716470934973716,4.833472133533528,4.81066651419948,4.569849764348593,4.8,4.8884713252809355
1902F2001_072,4.74246137197208,5.025123437452115,4.979770092362893,5.183975209000644,5.2,5.1015942266285075
1902F2001_073,4.240629069173389,4.18360168767788,4.099629598312383,4.196704640617921,4.0,4.036628999869669
1902F2001_074,4.918121081695279,5.083836981988297,4.926924238516776,4.762759338869891,5.0,5.1333206528957795
1902F2001_075,4.197788970588964,4.010170415578557,4.099629598312383,4.17983253596037,4.2,3.9821137476373973
1902F2001_076,4.667188693641412,4.65776138110972,4.099629598312383,4.391427995986948,3.6,4.442357823179957
1902F2001_077,4.19662414249455,4.025069616728615,4.099629598312383,4.231303608354853,4.0,3.9900942341658103
1902F2001_078,4.672924878837802,4.160495931321725,4.099629598312383,4.239219391558059,3.2,4.270601326329513
1902F2001_079,4.66914749013005,4.50977522786677,4.764552992932149,4.758693688261674,3.6,4.774590075811241
1902F2001_080,4.197788970588964,3.9141247465333664,4.099629598312383,4.307450671592084,4.0,3.980180938152459
1902F2001_081,4.709879358486254,4.854910373688566,4.778423168099476,4.410624273443467,3.0,4.844031877087486
1902F2001_082,4.195347336111688,3.9860991333971207,4.099629598312383,4.14552896125545,3.8,3.973555785431777
1902F2001_083,4.256927050195108,3.9664826602133667,4.099629598312383,4.416696030536938,4.0,4.028129745323766
1902F2001_084,4.684405833622074,4.868713656485434,4.769308726730356,4.635997727499982,5.0,4.876034421832167
1902F2001_085,4.926119274641376,4.997063288000354,4.893707850149158,4.941041429112306,5.4,5.131249182442373
1902F2001_086,4.496005607430763,3.962351205490229,4.099629598312383,4.139830229379351,4.2,4.105325967929959
1902F2001_087,4.745986626491681,5.0521226536984996,4.865546221380177,5.105953989753381,6.0,5.06855514007791
1902F2001_088,4.221321468316541,4.178368352743871,4.099629598312383,4.244595304660851,4.0,4.033353973468186
1902F2001_089,4.74369300991726,5.134977054164012,4.90209183199532,4.8717112464476084,5.6,5.070244332418099
1902F2001_090,4.196352787391964,4.003302359727384,4.099629598312383,4.3092476351545645,4.4,3.995560239813494
1902F2001_091,4.718759975162958,4.97389771867283,4.800029615149562,5.158444653987978,4.6,5.017968863365888
1902F2001_092,4.196352787391964,4.009059991988958,4.099629598312383,4.275248067727747,4.0,3.9922702358408215
1902F2001_093,4.200495379164732,3.9313489452261594,4.099629598312383,4.269157181898226,4.0,3.9792607732614105
1902F2001_094,4.255874628000788,4.0053563223288,4.099629598312383,4.394273172900268,4.0,4.031780802938764
1902F2001_095,4.677388877699273,4.149466849410828,4.099629598312383,4.617006608467735,5.4,4.338547651887692
1902F2001_096,4.88038254431171,4.895294959165984,4.813897245375942,4.8663329538894615,6.0,5.049013568457303
1902F2001_097,4.493438642459547,3.949595974093689,4.099629598312383,4.219734488754784,4.4,4.111368401629772
1902F2001_098,4.7073732344589105,4.804503684541622,4.099629598312383,4.615860460365319,6.2,4.55780114909093
1902F2001_099,4.9008164210953815,4.882866115762716,4.751067167744859,4.802185667025689,5.8,5.022357868435334
1902F2001_100,4.9433965761738206,5.089925044277266,4.927370414999335,5.179131734631696,5.8,5.186923591012726
1902F2001_101,4.497969791238371,3.963652979694622,4.099629598312383,4.212751530319029,3.8,4.115877462877428
1902F2001_102,4.6610990900791744,3.9665048028481995,4.099629598312383,4.371338666346782,4.6,4.235773603828962
1902F2001_103,4.512381296600365,4.014791242163349,4.099629598312383,4.1940901281068665,3.8,4.132537090071738
1902F2001_104,4.68152455955613,4.591141819639357,4.738468659550135,4.489174749780094,3.2,4.742578697285397
1902F2001_105,4.274452735954279,5.055015948458702,4.801967949833754,5.0921100306207485,4.6,4.767443958759386
1902F2001_106,4.195347336111688,4.032766697806117,4.099629598312383,4.239032536187597,4.0,3.991987497898898
1902F2001_107,4.496983897457699,4.026946249395479,4.099629598312383,4.331389002271997,3.4,4.146706165505556
1902F2001_108,4.2001299003067745,3.979550010218883,4.099629598312383,4.178529123311467,3.6,3.9773365357553896
1902F2001_109,4.878545523848306,4.9384069981211365,4.747825945748624,4.596181088712246,4.0,4.988467407753592
1902F2001_110,4.875683734571095,4.860207344593387,4.823457038996202,4.824514789829873,3.2,5.034320095643859
1902F2001_111,4.197788970588964,3.9694702796244807,4.099629598312383,4.223429378827604,4.0,3.9795132890366585
1902F2002_001,4.140131579595066,4.480514558064958,4.108471490388922,4.337948046144319,4.0,4.087423446284761
1902F2002_002,4.258684440859528,4.710346117174972,4.764824521613883,4.494630467769439,4.0,4.51483351029445
1902F2002_003,4.7641006340065495,4.92845697722018,4.830475264702774,4.939434033818527,4.6,4.982594910674227
1902F2002_004,4.716793629069728,4.590628767263235,4.78162719717748,4.478199115320053,4.4,4.735799713052515
1902F2002_005,4.2270569143226835,4.465016688489696,4.732433825070752,4.336590740964273,4.2,4.367285927472671
